,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,name_len
0,Brooklyn,Kensington,Private room,149,1,9,0.21,6,365,34
1,Manhattan,Midtown,Entire home/apt,225,1,45,0.38,2,355,21
2,Manhattan,Harlem,Private room,150,3,0,1.3732214298586884,1,365,35
3,Brooklyn,Clinton Hill,Entire home/apt,89,1,270,4.64,1,194,31
4,Manhattan,East Harlem,Entire home/apt,80,10,9,0.1,1,0,48
5,Manhattan,Murray Hill,Entire home/apt,200,3,74,0.59,1,129,41
6,Brooklyn,Bedford-Stuyvesant,Private room,60,45,49,0.4,1,0,15
7,Manhattan,Hell's Kitchen,Private room,79,2,430,3.47,1,220,32
8,Manhattan,Upper West Side,Private room,79,2,118,0.99,1,0,34
9,Manhattan,Chinatown,Entire home/apt,150,1,160,1.33,4,188,34
10,Manhattan,Upper West Side,Entire home/apt,135,5,53,0.43,1,6,32
11,Manhattan,Hell's Kitchen,Private room,85,2,188,1.5,1,39,31
12,Brooklyn,South Slope,Private room,89,4,167,1.34,3,314,46
13,Manhattan,Upper West Side,Private room,85,2,113,0.91,1,333,48
14,Manhattan,West Village,Entire home/apt,120,90,27,0.22,1,0,29
15,Brooklyn,Williamsburg,Entire home/apt,140,2,148,1.2,1,46,32
16,Brooklyn,Fort Greene,Entire home/apt,215,2,198,1.72,1,321,33
17,Manhattan,Chelsea,Private room,140,1,260,2.12,1,12,15
18,Brooklyn,Crown Heights,Entire home/apt,99,3,53,4.44,1,21,47
19,Manhattan,East Harlem,Entire home/apt,190,7,0,1.3732214298586884,2,249,33
20,Brooklyn,Williamsburg,Entire home/apt,299,3,9,0.07,1,0,32
21,Brooklyn,Park Slope,Private room,130,2,130,1.09,6,347,30
22,Brooklyn,Park Slope,Private room,80,1,39,0.37,6,364,24
23,Brooklyn,Park Slope,Private room,110,2,71,0.61,6,304,21
24,Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,2,88,0.73,2,233,38
25,Brooklyn,Windsor Terrace,Private room,60,1,19,1.37,2,85,34
26,Manhattan,Inwood,Private room,80,4,0,1.3732214298586884,1,0,49
27,Manhattan,Hell's Kitchen,Entire home/apt,150,10,58,0.49,1,75,20
28,Manhattan,Inwood,Private room,44,3,108,1.11,3,311,44
29,Manhattan,East Village,Entire home/apt,180,14,29,0.24,1,67,32
30,Manhattan,Harlem,Private room,50,3,242,2.04,3,355,21
31,Manhattan,Harlem,Private room,52,2,88,1.42,1,255,35
32,Brooklyn,Greenpoint,Private room,55,4,197,1.65,3,284,33
33,Manhattan,Harlem,Private room,50,3,273,2.37,3,359,19
34,Brooklyn,Bedford-Stuyvesant,Private room,70,1,74,0.66,2,269,21
35,Brooklyn,South Slope,Private room,89,4,168,1.41,3,340,47
36,Brooklyn,Bedford-Stuyvesant,Private room,35,60,0,1.3732214298586884,1,365,27
37,Brooklyn,Bushwick,Entire home/apt,85,2,231,1.96,2,22,25
38,Brooklyn,Flatbush,Private room,150,1,0,1.3732214298586884,1,365,25
39,Manhattan,Lower East Side,Shared room,40,1,214,1.81,4,188,35
40,Manhattan,East Village,Private room,68,2,245,2.08,2,96,19
41,Brooklyn,South Slope,Entire home/apt,120,3,15,0.39,1,345,35
42,Brooklyn,Fort Greene,Private room,120,7,25,0.23,1,311,33
43,Manhattan,Upper West Side,Private room,135,4,81,0.69,1,273,17
44,Manhattan,Harlem,Entire home/apt,150,7,97,0.84,1,309,18
45,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,150,29,11,0.49,1,95,50
46,Queens,Long Island City,Private room,130,3,248,2.25,1,215,50
47,Brooklyn,Bedford-Stuyvesant,Entire home/apt,110,7,61,0.52,1,265,34
